Title,Authors,Year of Publication,DOI
Towards Trustworthy Autonomous Systems: Taxonomies and Future Perspectives,"Flammini, Alcaraz, Bellini, Marrone, Lopez, Bondavalli",2024,https://doi.org/10.1109/TETC.2022.3227113
Digital Twin Networks: Learning Dynamic Network Behaviors from Network Flows,"Lin, Gel, Wu, Li, Li",2022,https://doi.org/10.1109/ISCC55528.2022.9912864
Threat Modelling of IoT Systems Using Distributed Ledger Technologies and IOTA,"Damianou, Khan, Angelopoulos, Katos",2021,https://doi.org/10.1109/DCOSS52077.2021.00070
Stochastic Digital-Twin Service Demand With Edge Response: An Incentive-Based Congestion Control Approach,"Lin, Wu, Li, Yang, Guizani",2023,https://doi.org/10.1109/TMC.2021.3122013
Security Automation for Cloud-Based IoT Platforms,"Merzouki, Mahmoudi, Bohn, Tunc",2019,https://doi.org/10.1109/iThings/GreenCom/CPSCom/SmartData.2019.00199
Side-Channel Analysis-Based Model Extraction on Intelligent CPS: An Information Theory Perspective,"Pan, Wu, Lin, Li",2021,https://doi.org/10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics53846.2021.00050
Building a Hardware-in-the-Loop (HiL) Digital Energy Station Infrastructure for Cyber Operation Resiliency Testing,"Jϕrgensen, Waltoft-Olsen, Houmb, Toppe, Soltvedt, Muggerud",2022,https://doi.org/10.1145/3524489.3527299
SDCWorks: A Formal Framework for Software Defined Control of Smart Manufacturing Systems,"Potok, Chen, Mitra, Mohan",2018,https://doi.org/10.1109/ICCPS.2018.00017
DRIVE: A Digital Network Oracle for Cooperative Intelligent Transportation Systems,"Mavromatis, Piechocki, Sooriyabandara, Parekh",2020,https://doi.org/10.1109/ISCC50000.2020.9219683
The Scheme and System Architecture of Product Quality Inspection based on Software-Defined Edge Intelligent Controller (SD-EIC) in Industrial Internet of Things,"Hu, He, Zhu",2022,https://doi.org/10.1109/SmartIoT55134.2022.00019
Gotham Testbed: A Reproducible IoT Testbed for Security Experiments and Dataset Generation,"Sáez-de-Cámara, Flores, Arellano, Urbieta, Zurutuza",2024,https://doi.org/10.1109/TDSC.2023.3247166
Assessment of a Method for Detecting Process Anomalies Using Digital-Twinning,"Sugumar, Mathur",2019,https://doi.org/10.1109/EDCC.2019.00031
Grand Challenge: Applying Artificial Intelligence and Machine Learning to Cybersecurity,"Bresniker, Gavrilovska, Holt, Milojicic, Tran",2019,https://doi.org/10.1109/MC.2019.2942584
ELITE: An Intelligent Digital Twin-Based Hierarchical Routing Scheme for Softwarized Vehicular Networks,"Zhao, Bi, Hawbani, Yu, Zhang, Guizani",2023,https://doi.org/10.1109/TMC.2022.3179254
Convergent Access Control to Enable Secure Smart Communities,"Bhatt, Sandhu",2020,https://doi.org/10.1109/TPS-ISA50397.2020.00029
Understanding and Fixing Complex Faults in Embedded Cyberphysical Systems,"Weiss, Gautham, Jayakumar, Elks, Kuhn, Kacker, Preusser",2021,https://doi.org/10.1109/MC.2020.3029975
Reference Architectures and Standards for the Internet of Things and Big Data in Smart Manufacturing,Ünal,2019,https://doi.org/10.1109/FiCloud.2019.00041
Digital-twin based Power Supply System Modeling and Analysis for Urban Rail Transportation,"Guo, Wu, Liang, Hu, Liu",2020,https://doi.org/10.1109/ICEI49372.2020.00022
A Middleware for Digital Twin-Enabled Flying Network Simulations Using UBSim and UB-ANC,"Moorthy, Harindranath, McManus, Guan, Mastronarde, Bentley, Medley",2022,https://doi.org/10.1109/DCOSS54816.2022.00059
Cyber Resilience for the Internet of Things: Implementations With Resilience Engines and Attack Classifications,"Alvarenga, Brands, Doliwa, Hartog, Kraft, Medwed, Nikov, Renes, Rosso, Schneider, Veshchikov",2024,https://doi.org/10.1109/TETC.2022.3231692
(Do Not) Trust in Ecosystems,"Cioroaica, Kuhn, Buhnova",2019,https://doi.org/10.1109/ICSE-NIER.2019.00011
INSpIRA: INtegrating Security Into Risk Assessment,Dobaj,2018,https://doi.org/
A Real-Time Cosimulation Testbed for Electric Vehicle Charging and Smart Grid Security,"Sarieddine, Sayed, Jafarigiv, Atallah, Debbabi, Assi",2023,https://doi.org/10.1109/MSEC.2023.3247374
Intrusion Detection in Binary Process Data: Introducing the Hamming-distance to Matrix Profiles,"Anton, Schotten",2020,https://doi.org/10.1109/WoWMoM49955.2020.00065
Unleashing the Digital Twin's Potential for ICS Security,"Dietz, Pernul",2020,https://doi.org/10.1109/MSEC.2019.2961650
HCFL: A High Compression Approach for Communication-Efficient Federated Learning in Very Large Scale IoT Networks,"Nguyen, Lee, Pham, Hoang, Nguyen, Hwang",2023,https://doi.org/10.1109/TMC.2022.3190510
Industrial IoT and Advanced Analytics Framework: An Approach for the Mining Industry,"Moura, Ceotto, Gonzalez",2017,https://doi.org/10.1109/CSCI.2017.228
Towards Model Co-evolution Across Self-Adaptation Steps for Combined Safety and Security Analysis,"Witte, Groner, Raschke, Tichy, Pekaric, Felderer",2022,https://doi.org/10.1145/3524844.3528062
DAOs & ADSs,Wright,2023,https://doi.org/10.1109/ISADS56919.2023.10091973
Keynotes,No authors,2022,https://doi.org/10.1109/ICPS55917.2022.00007
Reflections on Visualization Research Projects in the Manufacturing Industry,"Cibulski, Schmidt, Aigner",2022,https://doi.org/10.1109/MCG.2022.3156846
Metaverse Security and Privacy: An Overview,"Chen, Wu, Gan, Qi",2022,https://doi.org/10.1109/BigData55660.2022.10021112
Modelling Virtual Sensors for Indoor Environments with Machine Learning,"Polanski, Angelopoulos",2022,https://doi.org/10.1109/DCOSS54816.2022.00046
Current Perspectives on Securing Critical Infrastructures’ Supply Chains,"Roman, Alcaraz, Lopez, Sakurai",2023,https://doi.org/10.1109/MSEC.2023.3247946
Technology Predictions,Milojicic,2019,https://doi.org/10.1109/MC.2019.2944708
A Privacy Preserving Anomaly Detection Framework for Cooperative Smart Farming Ecosystem,"Chukkapalli, Ranade, Mittal, Joshi",2021,https://doi.org/10.1109/TPSISA52974.2021.00037
Standardization: A Key Factor of Industry 4.0,"Villagrán, Estevez, Pesado, Marquez",2019,https://doi.org/10.1109/ICEDEG.2019.8734339
Fusion of Building Information Modeling and Blockchain for Metaverse: A Survey,"Huang, Zeng, Zhao, Qiu, Wu, Fan",2022,https://doi.org/10.1109/OJCS.2022.3206494
FaultFlow: a tool supporting an MDE approach for Timed Failure Logic Analysis,"Parri, Sampietro, Vicario",2021,https://doi.org/10.1109/EDCC53658.2021.00011
A Fully Decentralized Infrastructure for Subscription-based IoT Data Trading,"Lin, Huang, Yuan, Yuan",2020,https://doi.org/10.1109/Blockchain50366.2020.00027
Detecting and Preventing Faked Mixed Reality,"Kilger, Kabil, Tippmann, Klinker, Pahl",2021,https://doi.org/10.1109/MIPR51284.2021.00074
"A Trusted, Verifiable and Differential Cyber Threat Intelligence Sharing Framework using Blockchain","Dunnett, Pal, Putra, Jadidi, Jurdak",2022,https://doi.org/10.1109/TrustCom56396.2022.00152
Recent Advances in Cognitive Informatics and Cognitive Computing towards Autonomous Systems (Plenary Panel Report-II of IEEE ICCI*CC'22),"Kinsner, Kaynak, Zhu, Hou, Rayz, Gavrilova, Wang, Baciu, Peng, Chan, Huang, Du",2022,https://doi.org/10.1109/ICCICC57084.2022.10101660
Systems and Architectures,"Dukes, Bresniker",2021,https://doi.org/10.1109/IRDS54852.2021.00009
Message from the Workshop Committee,No authors,2021,https://doi.org/10.1109/EnCyCriS52570.2021.00005
Establish a scientific concept of network security and build a strong defense line of network security,"Changxiang, Zhang, Perry, Liu",2020,https://doi.org/10.1109/CyberC49757.2020.00010
Toward Smart Manufacturing: Key Technologies and Trends Driving Standardization,"Wei, Ma, Li, Hu",2020,https://doi.org/10.1109/MC.2020.2970821
A virtualization-based security architecture for industrial control systems,"Zhang, Hao, Hu, Luo, Wang",2022,https://doi.org/10.1109/DSC55868.2022.00020
Cybercrime Investigations in the Era of Smart Applications: Way Forward Through Big Data,"Shalaginov, Kotsiuba, Iqbal",2019,https://doi.org/10.1109/BigData47090.2019.9006596
Visual Computing as a Key Enabling Technology for Industrie 4.0 and Industrial Internet,"Posada, Toro, Barandiaran, Oyarzun, Stricker, Amicis, Pinto, Eisert, Dollner, Vallarino",2015,https://doi.org/10.1109/MCG.2015.45
Keynote Speakers,No authors,2022,https://doi.org/10.1109/SmartIoT55134.2022.00009
Software Services Engineering Manifesto - A Cross-Cutting Declaration,"Chang, Ceravolo, Chang, Helal, Jin, Liu, Ming",2021,https://doi.org/10.1109/ICWS53863.2021.00014
Special Session: Physics- Informed Neural Networks for Securing Water Distribution Systems,"Falas, Konstantinou, Michael",2020,https://doi.org/10.1109/ICCD50377.2020.00022
Towards Extreme and Sustainable Graph Processing for Urgent Societal Challenges in Europe,"Prodan, Kimovski, Bartolini, Cochez, Iosup, Kharlamov, Rožanec, Vasiliu, Vărbănescu",2022,https://doi.org/10.1109/CloudSummit54781.2022.00010
Blockchain-Empowered Privacy-Preserving Digital Object Trading in the Metaverse,"Xiao, Xu, Zhang, Zhu, Zhang",2023,https://doi.org/10.1109/MMUL.2023.3246528
Sensitive information protection in blockchain-based supply-chain management for aerospace,"Martintoni, Senni, Marin, Gutierrez",2022,https://doi.org/10.1109/COINS54846.2022.9854974
A Thorough Analysis and Comparison of Data Communication Protocols Used in Industry 4.0: the Case of Smart-CNC,"Deveci, Bas, Ummak, Albayrak, Unal",2022,https://doi.org/10.1109/FiCloud57274.2022.00034
The Future of IT Operational Technology Supply Chains,Paulsen,2020,https://doi.org/10.1109/MC.2019.2951979
"Research on Metaverse: Concept, development and standard system","Wang, Yan, Zhou",2021,https://doi.org/10.1109/CECIT53797.2021.00176
A Shapley value-enhanced evaluation technique for effective aggregation in Federated Learning,"Salarbashishahri, Okegbile, Cai",2022,https://doi.org/10.1109/FNWF55208.2022.00024
A Secure Federated Learning Mechanism for Data Privacy Protection,"Lin, Liu, Wang",2021,https://doi.org/10.1109/IUCC-CIT-DSCI-SmartCNS55181.2021.00019
Securing Critical Infrastructure Through Innovative Use Of Merged Hierarchical Deep Neural Networks,Gupta,2021,https://doi.org/10.1109/PST52912.2021.9647771
COMPSAC 2022: A Retrospective,Reisman,2022,https://doi.org/10.1109/MITP.2022.3193046
Graphics and Media Technologies for Operators in Industry 4.0,"Posada, Zorrilla, Dominguez, Simoes, Eisert, Stricker, Rambach, Döllner, Guevara",2018,https://doi.org/10.1109/MCG.2018.053491736
A Paradigm for Safe Adaptation of Collaborating Robots,"Cioroaica, Buhnova, Tomur",2022,https://doi.org/10.1145/3524844.3528061
COSCO: Container Orchestration Using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,"Tuli, Poojara, Srirama, Casale, Jennings",2022,https://doi.org/10.1109/TPDS.2021.3087349
Enhancing Continuous Service of Information Systems Based on Cyber Resilience,"Zuo, Guo, Gan, Lu",2021,https://doi.org/10.1109/DSC53577.2021.00085
Aspern smart ICT: Data analytics and privacy challenges in a smart city,"Dhungana, Engelbrecht, Parreira, Schuster, Valerio",2015,https://doi.org/10.1109/WF-IoT.2015.7389096
ICICOS: Industrial Cyber Intelligent Control Operating System for Cloud and Edge Computing,"Su, Kong, He",2021,https://doi.org/10.1109/SmartIoT52359.2021.00056
Methodological Framework Based on Digital Technologies for the Implementation of Industry 4.0 in SMEs,"Velásquez, Estevez, Pesado",2019,https://doi.org/10.1109/ICEDEG.2019.8734282
Short Survey of Artificial Intelligent Technologies for Defect Detection in Manufacturing,"Papageorgiou, Theodosiou, Margetis, Dimitriou, Charalampous, Tzovaras, Samakovlis",2021,https://doi.org/10.1109/IISA52424.2021.9555499
Threat modeling at run time: the case for reflective and adaptive threat management (NIER track),"Landuyt, Pasquale, Sion, Joosen",2021,https://doi.org/10.1109/SEAMS51251.2021.00034
Computer Highlights Society Magazines,No authors,2022,https://doi.org/10.1109/MC.2022.3201211
Blockchain Security: A Survey of Techniques and Research Directions,"Leng, Zhou, Zhao, Huang, Bian",2022,https://doi.org/10.1109/TSC.2020.3038641
Morphological Rule-Constrained Object Detection of Key Structures in Infant Fundus Image,"Zhang, Ye, Wu, Luo, Chen, Du, Wen, Song, Liu, Zhang, Wang",,https://doi.org/10.1109/TCBB.2023.3234100
INGR Roadmap Artificial Intelligence And Machine Learning Chapter,"Kataria, Walid, Daneshmand, Dutta, Enright, Gu, Lackpour, Ramachandran, Wang, Chen, Chng, Darema",2022,https://doi.org/10.1109/FNWF55208.2022.00133
Massive Twinning to Enhance Emergent Intelligence,"Yuan, Han, Krummacker, Schotten",2022,https://doi.org/10.1109/ISCC55528.2022.9912797
Future of the Workforce,"Arlitt, Coughlin, Faraboschi, Frachtenberg, Laplante, Milojicic, Patel, Saracco",2023,https://doi.org/10.1109/MC.2022.3203505
System-specific risk rating of software vulnerabilities in industrial automation & control systems,"Maidl, Kröselberg, Zhao, Limmer",2021,https://doi.org/10.1109/ISSREW53611.2021.00097
Message from the General Chairs,No authors,2022,https://doi.org/10.1109/ACSOSC56246.2022.00005
A Periscopic IT Outlook,Murugesan,2022,https://doi.org/10.1109/MITP.2022.3163616
A Blockchain-based Framework for Information Management in Internet of Vehicles,"Wen, Guan, Li, Lyu, Li",2021,https://doi.org/10.1109/CSCloud-EdgeCom52276.2021.00014
Accelerating Convergence of Federated Learning in MEC With Dynamic Community,"Sun, Zhao, Ma, Guo, Xu, Duong",2024,https://doi.org/10.1109/TMC.2023.3241770
Author Index,No authors,2022,https://doi.org/10.1109/ISCC55528.2022.9912794
Medical Software,"Mani, Ebert",2022,https://doi.org/10.1109/MS.2021.3119505
Enabling Cognitive Manufacturing in Heterogeneous Industrial Automation Systems,"Van, Dreiser, Silva, Weiss",2022,https://doi.org/10.1109/ICCICC57084.2022.10101573
Multi-Modal Side Channel Data Driven Golden-Free Detection of Software and Firmware Trojans,"Krishnamurthy, Surabhi, Pearce, Karri, Khorrami",2023,https://doi.org/10.1109/TDSC.2022.3231632
A Comparison of State-of-the-Art Machine Learning Algorithms on Fault Indication and Remaining Useful Life Determination by Telemetry Data,"Ünal, Kaleli, Ummak, Albayrak",2021,https://doi.org/10.1109/FiCloud49777.2021.00019
Survey of Automation Practices in Model-Driven Development and Operations,"Ponsard, Ramon",2022,https://doi.org/10.1145/3528228.3528405
Artificial Intelligence and Critical Systems: From Hype to Reality,"Laplante, Milojicic, Serebryakov, Bennett",2020,https://doi.org/10.1109/MC.2020.3006177
iMetaverseKG: Industrial Metaverse Knowledge Graph to Promote Interoperability in Design and Engineering Applications,"Jaimini, Zhang, Brikis, Sheth",2022,https://doi.org/10.1109/MIC.2022.3212085
IEEE ICCI*CC Series in Year 20: Latest Advances in Cognitive Computing (Plenary Panel Report-II),"Kinsner, Zhu, Baciu, Luo, Rubio, Sui, Huang, Hiraishi, Peng, Chen",2021,https://doi.org/10.1109/ICCICC53683.2021.9811336
Cross-FCL: Toward a Cross-Edge Federated Continual Learning Framework in Mobile Edge Computing Systems,"Zhang, Guo, Sun, Liu, Yu",2024,https://doi.org/10.1109/TMC.2022.3223944
Is the Next Winter Coming for AI? Elements of Making Secure and Robust AI,"Harguess, Ward",2022,https://doi.org/10.1109/AIPR57179.2022.10092230
"ACA: Anonymous, Confidential and Auditable Transaction Systems for Blockchain","Lin, Huang, Ning, He",2023,https://doi.org/10.1109/TDSC.2022.3228236
Service Placement for Real-Time Applications: Rate-Adaptation and Load-Balancing at the Network Edge,"Kassir, Veciana, Wang, Wang, Palacharla",2020,https://doi.org/10.1109/CSCloud-EdgeCom49738.2020.00044
A Functional Model and Analysis of Next Generation Malware Attacks and Defenses,"Pu, Wang, Kanemasa, Lima, Kimball, Zhang, Liu, Gu",2021,https://doi.org/10.1109/TPSISA52974.2021.00023
Industry Survey: The Magic Triangle of the New Normal,"Ebert, Montenbruck",2022,https://doi.org/10.1109/MS.2022.3148928
IT Professional—Retrospectives and Perspectives,"Bojanova, Hurlburt",2022,https://doi.org/10.1109/MITP.2022.3141846
BIG: Big Data Intelligence Governance Framework,Makhlouf,2022,https://doi.org/10.1109/BigData55660.2022.10020244
Reopen Offline Business during a Pandemic? Characterization of Health Certificate Exchange for Human Movement Management,"Shen, Tan, Cai, Guo, Jiang, Qin",2021,https://doi.org/10.1109/ICEBE52470.2021.00034
"Air Free-Cooled Tropical Data Center: Design, Evaluation, and Learned Lessons","Le, Liu, Wang, Tan, Ngoh",2022,https://doi.org/10.1109/TSUSC.2021.3132927
IEEE ICCI*CC Series in Year 20: Latest Advances in Cognitive Informatics and Cognitive Computing towards General AI (Plenary Panel Report-I),"Wang, Widrow, Pedrycz, Berwick, Soda, Kwong, Kaynak, Regazzoni, Chan, Gavrilova, Wang",2021,https://doi.org/10.1109/ICCICC53683.2021.9811324
The Edge-to-Cloud Continuum,Milojicic,2020,https://doi.org/10.1109/MC.2020.3007297
Towards a Roadmap on Software Engineering for Responsible AI,"Lu, Zhu, Xu, Whittle, Xing",2022,https://doi.org/10.1145/3522664.3528607
A Conceptual Antifragile Microservice Framework for Reshaping Critical Infrastructures,"Bangui, Rossi, Buhnova",2022,https://doi.org/10.1109/ICSME55016.2022.00040
Design of Power Communication Panoramic Interactive Anti-Accident Exercise System,"Geng, Hao, Liu, Gao, Lin, Sun",2022,https://doi.org/10.1109/ICCSIE56462.2022.00018
A next-generation platform for Cyber Range-as-a-Service,Orbinato,2021,https://doi.org/10.1109/ISSREW53611.2021.00094
"IT Professional—Accomplishments, Recognitions, and Plans",Bojanova,2021,https://doi.org/10.1109/MITP.2020.3048454
When Digital Economy Meets Web3.0: Applications and Challenges,"Chen, Zhang, Li, Liao, Zhao, Zheng, Huang, Wu",2022,https://doi.org/10.1109/OJCS.2022.3217565
Agile Systems Engineering,"Ebert, Kirschke-Biller",2021,https://doi.org/10.1109/MS.2021.3071806
Research on The Development of Commercial Digital Economy Based on Information Driven,"Zhang, Zhang",2022,https://doi.org/10.1109/CACML55074.2022.00123
Everything You Always Wanted to Know About Embedded Trace,"Preußer, Gautham, Rajagopala, Elks, Weiss",2022,https://doi.org/10.1109/MC.2021.3098965
Game-theory strategies for open-source Infrastructure-as-Code,"Ruiz, Nedeltcheva",2023,https://doi.org/10.1109/ICSA-C57050.2023.00075
Scientific Data Management for Interconnected Critical Infrastructure Systems,Weaver,2021,https://doi.org/10.1109/JCDL52503.2021.00031
Quantum Deductive Simulation for Logic Functions,"Hahanov, Hacimahmud, Litvinova, Chumachenko, Hahanova",2018,https://doi.org/10.1109/EWDTS.2018.8524619
Simulation System of Digital Media 3D Art Design Based on Artificial Intelligence,Zhao,2022,https://doi.org/10.1109/AIoTCs58181.2022.00091
FastSlowMo: Federated Learning With Combined Worker and Aggregator Momenta,"Yang, Fu, Bao, Yuan, Zomaya",2023,https://doi.org/10.1109/TAI.2022.3187678
"Financial Crimes in Web3-Empowered Metaverse: Taxonomy, Countermeasures, and Opportunities","Wu, Lin, Lin, Zheng, Huang, Zheng",2023,https://doi.org/10.1109/OJCS.2023.3245801
Towards Sustainable Digital Transformation,"Gils, Weigand",2020,https://doi.org/10.1109/CBI49978.2020.00019
Welcome Message from the General Chairs,No authors,2022,https://doi.org/10.1109/ICME52920.2022.9859798
Blockchain and Federated Reinforcement Learning for Vehicle-to-Everything Energy Trading in Smart Grids,"Moniruzzaman, Yassine, Benlamri",2024,https://doi.org/10.1109/TAI.2023.3262597
Southbound Message Delivery With Virtual Network Topology Awareness in Clouds,"Zhao, Luo, Xu, Chung, Xie",2023,https://doi.org/10.1109/TNET.2022.3190730
CyberDefender: an integrated intelligent defense framework for digital-twin-based industrial cyber-physical systems,"S. Krishnaveni, Thomas M. Chen, ... B. Amutha",2024,https://doi.org/10.1007/s10586-024-04320-x
Cyber-physical systems: a bibliometric analysis of literature,"Nitin Singh, Prabin Kumar Panigrahi, ... Sajjad M. Jasimuddin",2024,https://doi.org/10.1007/s10586-024-04320-x
An Integration of Digital Twin and 6G Edge Computing Approach to Secure Cyber Physical Systems,"R. Suganya, Ajmeera Kiran, ... A. Nageswaran",2024,https://doi.org/10.1007/s10586-024-04320-x
Secure Software Development Life Cycle: An Approach to Reduce the Risks of Cyber Attacks in Cyber Physical Systems and Digital Twins,"Radha Seelaboyina, Sai Prakash Chary Vadla, ... Veena Vani Pedduri",2024,https://doi.org/10.1007/s10586-024-04320-x
Enhancing attack resilience of cyber-physical systems through state dependency graph models,"Konstantinos Adamos, George Stergiopoulos, ... Dimitris Gritzalis",2024,https://doi.org/10.1007/s10586-024-04320-x
Exploratory Project of Digital Twin Technology in Cyber-Physical Systems,"Irony Nunes de Oliveira, Hanameel Carlos Vieira Gomes, ... Cícero Roberto Garcez",2024,https://doi.org/10.1007/s10586-024-04320-x
ViSE: Digital Twin Exploration for Automotive Functional Safety and Cybersecurity,"Md Rafiul Kabir, Sandip Ray",2024,https://doi.org/10.1007/s10586-024-04320-x
"Cyber Resilience of Cyber-Physical Systems and Machine Learning, a Scoping Review","João Pavão, Rute Bastardo, Nelson Pacheco Rocha",2024,https://doi.org/10.1007/s10586-024-04320-x
A review of digital twins and their application in cybersecurity based on artificial intelligence,"Mohammadhossein Homaei, Óscar Mogollón-Gutiérrez, ... Andrés Caro",2024,https://doi.org/10.1007/s10586-024-04320-x
MSOA: A modular service-oriented architecture to integrate mobile manipulators as cyber-physical systems,"Nooshin Ghodsian, Khaled Benfriha, ... Aurélien Arnou",2024,https://doi.org/10.1007/s10586-024-04320-x
A Survey of Cyber-physical Systems Applications (2017–2022),"Nastaran Jadidi, Mohsen Varmazyar",2024,https://doi.org/10.1007/s10586-024-04320-x
Analysis of Cross-Domain Security and Privacy Aspects of Cyber-Physical Systems,"Kamal Prasat, S. Sanjay, ... Ramani Selvanambi",2024,https://doi.org/10.1007/s10586-024-04320-x
Cyber-Physical System Converged Digital Twin for Secure Patient Monitoring and Attack Detection,"Jiang Xing, Dandan Wang, ... Lijie Li",2024,https://doi.org/10.1007/s10586-024-04320-x
"An Analysis Study of Security Threats, Vulnerabilities Challenges of Cyber-Physical Systems","Javaid Ahmad Wani, Samayveer Sing, ... Pradeep Kumar Singh",2024,https://doi.org/10.1007/s10586-024-04320-x
Digital twins: artificial intelligence and the IoT cyber-physical systems in Industry 4.0,"Petar Radanliev, David De Roure, ... Omar Santos",2024,https://doi.org/10.1007/s10586-024-04320-x
A new enhanced cyber security framework for medical cyber physical systems,"Ishaani Priyadarshini, Raghvendra Kumar, ... Sakshi Rai",2024,https://doi.org/10.1007/s10586-024-04320-x
Integration of Cyber Physical Systems and Data Science into the Built Environment Lifecycle,"Luke Desmond, Mohamed Salama",2024,https://doi.org/10.1007/s10586-024-04320-x
Cyber Physical Integrated Digital Twin Network Model for Enterprise Producing High-Performing Logistics,"Yang Pu, Xingchen Pan, ... Mengtian Zhang",2024,https://doi.org/10.1007/s10586-024-04320-x
Fault Tolerance in Cyber-Physical Systems,Federica Pascucci,2024,https://doi.org/10.1007/s10586-024-04320-x
Cyber-Physical Systems in Decarbonisation,"Oliver Inderwildi, Chuan Zhang, Markus Kraft",2024,https://doi.org/10.1007/s10586-024-04320-x
"Lessons Learned and Future Directions for Security, Resilience and Artificial Intelligence in Cyber Physical Systems","J. Sukarno Mertoguno, Gregory Briskin, ... Kyung Kwak",2022,https://doi.org/10.1007/s12083-023-01507-8
A Survey of Cyber-Physical Systems Applications (2017–2022),"Nastaran Jadidi, Mohsen Varmazyar",2022,https://doi.org/10.1007/s12083-023-01507-8
A Hybrid Dynamic Risk Analysis Methodology for Cyber-Physical Systems,"Christos Lyvas, Konstantinos Maliatsos, ... Athanasios Kanatas",2022,https://doi.org/10.1007/s12083-023-01507-8
Toward the Adoption of Secure Cyber Digital Twins to Enhance Cyber-Physical Systems Security,"Alessandra De Benedictis, Christiancarmine Esposito, Alessandra Somma",2022,https://doi.org/10.1007/s12083-023-01507-8
TEA-EKHO-IDS: An intrusion detection system for industrial CPS with trustworthy explainable AI and enhanced krill herd optimization,"S. Sivamohan, S. S. Sridhar, S. Krishnaveni",2022,https://doi.org/10.1007/s12083-023-01507-8
Robotics and Artificial Intelligence in the Nuclear Industry: From Teleoperation to Cyber Physical Systems,"Declan Shanahan, Ziwei Wang, Allahyar Montazeri",2022,https://doi.org/10.1007/s12083-023-01507-8
"A Review of the Concept, Applications, Risks and Control Strategies for Digital Twin","Farnaz Farid, Abubakar Bello, ... Razia Sultana",2022,https://doi.org/10.1007/s12083-023-01507-8
Cognitive Digital Twins for Improving Security in IT-OT Enabled Healthcare Applications,"Sandeep Pirbhulal, Sabarathinam Chockalingam, ... Nathan Lau",2022,https://doi.org/10.1007/s12083-023-01507-8
Cyber Manufacturing,"Matthew N. O. Sadiku, Abayomi J. Ajayi-Majebi, Philip O. Adebo",2022,https://doi.org/10.1007/s12083-023-01507-8
Examining the nexus of blockchain technology and digital twins: Bibliometric evidence and research trends,"Xiaozhi Ma, Wenbo Du, ... Hongping Yuan",2022,https://doi.org/10.1007/s12083-023-01507-8
Study I: Industrial Cyber-Physical Systems in a Systemic Perspective,Sascha Julian Oks,2022,https://doi.org/10.1007/s12083-023-01507-8
Human Factors and Security in Digital Twins: Challenges and Future Prospects,"Sanjay Misra, Kousik Barik, ... Sabarathinam Chockalingam",2022,https://doi.org/10.1007/s12083-023-01507-8
Data Protection and Security Enhancement in Cyber-Physical Systems Using AI and Blockchain,"K. Vignesh Saravanan, P. Jothi Thilaga, ... K. Vijayalakshmi",2022,https://doi.org/10.1007/s12083-023-01507-8
Dataset Generation Methodology: Towards Application of Machine Learning in Industrial Water Treatment Security,"Evgenia Novikova, Elena Fedorchenko, ... Igor Saenko",2022,https://doi.org/10.1007/s12083-023-01507-8
Digital Twins Technologies,"Wenjuan Wang, Qasim Zaheer, ... Wenbo Hu",2022,https://doi.org/10.1007/s12083-023-01507-8
"Cyber-Physical Systems in the Context of Industry 4.0: A Review, Categorization and Outlook","Sascha Julian Oks, Max Jalowski, ... Kathrin M. Möslein",2022,https://doi.org/10.1007/s12083-023-01507-8
Securing critical infrastructures with a cybersecurity digital twin,"Massimiliano Masi, Giovanni Paolo Sellitto, ... Tanja Pavleska",2022,https://doi.org/10.1007/s12083-023-01507-8
Study III: Industrial Cyber-Physical Systems in an Organizational Perspective,Sascha Julian Oks,2022,https://doi.org/10.1007/s12083-023-01507-8
A Runtime Verification Framework for Cyber-Physical Systems Based on Data Analytics and LTL Formula Learning,"Ayodeji James Akande, Zhe Hou, ... Qinyi Li",2022,https://doi.org/10.1007/s12083-023-01507-8
A Low-Cost Environment for Teaching Fundamental Cybersecurity Concepts in CPS,"Kanthanet Tharot, Quoc Bao Duong, ... Jean-Marc Thiriet",2023,https://doi.org/10.1007/s10845-024-02453-9
Cyber Physical Systems in Manufacturing Engineers Education,"Zivana Jakovljevic, Dusan Nedeljkovic",2023,https://doi.org/10.1007/s10845-024-02453-9
An Assessment of the Cyber Security Challenges and Issues Associated with Cyber-Physical Power Systems,"Abubakar Bello, Farnaz Farid, Fahima Hossain",2023,https://doi.org/10.1007/s10845-024-02453-9
Integration of Digital Twins & Internet of Things,"Giancarlo Fortino, Claudio Savaglio",2023,https://doi.org/10.1007/s10845-024-02453-9
Revolutionizing sheet metal stamping through industry 5.0 digital twins: a comprehensive review,"Ossama Abou Ali Modad, Jason Ryska, ... Georges Ayoub",2023,https://doi.org/10.1007/s10845-024-02453-9
"Integrating Digital Twins with IoT-Based Blockchain: Concept, Architecture, Challenges, and Future Scope","Ezz El-Din Hemdan, Walid El-Shafai, Amged Sayed",2023,https://doi.org/10.1007/s10845-024-02453-9
The Adaptive Strategies Improving Digital Twin Using the Internet of Things,"N. Venkateswarulu, P. Sunil Kumar Reddy, ... K. Suresh",2023,https://doi.org/10.1007/s10845-024-02453-9
Cybersecurity and Dependability for Digital Twins and the Internet of Things,Vartan Piroumian,2023,https://doi.org/10.1007/s10845-024-02453-9
