Title,Authors,Year of Publication,DOI
Towards the adoption of automated cyber threat intelligence information sharing with integrated risk assessment,"Ríos, Zaidi",2024,https://doi.org/10.1145/3664476.3670444
Space spider: a hyper large scientific infrastructure based on digital twin for the space internet,"Li, Zhang, Hong",2022,https://doi.org/10.1145/3566099.3569007
"Digital twin modeling, co-simulation and cyber use-case inclusion methodology for IoT systems","Mittal, Tolk",2020,
Co-Simulating Physical Processes and Network Data for High-Fidelity Cyber-Security Experiments,"Murillo, Taormina",2021,https://doi.org/10.1145/3442144.3442147
Internet of Things for Human and Industry Application: ALIOT Project and R&D Issues.,"Illiashenko, Kharchenko",2021,https://doi.org/10.1145/3437120.3437338
Challenges for Predictive Quality in Multi-stage Manufacturing: Insights from Literature Review,"Cassoli, Metternich",2023,https://doi.org/10.1145/3617573.3618030
A Data-Centric Approach to Generate Invariants for a Smart Grid Using Machine Learning,"Hudani, Haseeb",2022,https://doi.org/10.1145/3510547.3517927
Techniques for Enhancing Security in Industrial Control Systems,"Varadharajan, Tupakula",2024,https://doi.org/10.1145/3630103
IoT System Trustworthiness Assurance,"Beuran, Ooi",2022,https://doi.org/10.1145/3488932.3527287
CPSS '22: 8th ACM Cyber-Physical System Security Workshop,"Cardenas, Mashima",2022,https://doi.org/10.1145/3488932.3517202
A Systematic Review of Data Quality in CPS and IoT for Industry 4.0,"Goknil, Nguyen, Sen",2023,https://doi.org/10.1145/3593043
The internet of things in undergraduate computer and information science education: exploring curricula and pedagogy,"Burd, Barker",2018,https://doi.org/10.1145/3293881.3295784
Model-based Trustworthiness Evaluation of Autonomous Cyber-Physical Production Systems: A Systematic Mapping Study,"Zahid, Bucaioni, Flammini",2024,https://doi.org/10.1145/3640314
Ontology driven AI and Access Control Systems for Smart Fisheries,Chukkapalli,2021,https://doi.org/10.1145/3445969.3450429
Study Cybersecurity of Cyber Physical System in the Virtual Environment: A Survey and New Direction,"Shi, Krishnan, Wen",2022,https://doi.org/10.1145/3511616.3513098
The DYNABIC approach to resilience of critical infrastructures,"Rios, Iturbe",2023,https://doi.org/10.1145/3600160.3605055
A Flexible Security Analytics Service for the Industrial IoT,"Empl, Pernul",2021,https://doi.org/10.1145/3445969.3450427
CODES/ISSS '23 Companion: Proceedings of the 2023 International Conference on Hardware/Software Codesign and System Synthesis,Hu,2024,
Unsupervised Dynamic Sensor Selection for IoT-Based Predictive Maintenance of a Fleet of Public Transport Buses,"Killeen, Kiringa, Yeap",2022,https://doi.org/10.1145/3530991
A Testing Based Approach for Security Analysis of Smart Semiconductor Systems,"Dodge, Pedrielli, Jevtić",2024,
A review of computing offloading and caching in edge computing based on reinforcement learning,"Guo, Wang",2023,https://doi.org/10.1145/3603781.3603839
Building Students' Digital Footprints with Blockchain in PBL Activities,"Borovskaya, Veselov",2023,https://doi.org/10.1145/3625078.3625087
Dataflow-based Control Process Identification for ICS Dataset Development,"Choi, Shin",2022,https://doi.org/10.1145/3546096.3546113
"A Comprehensive Survey on Interoperability for IIoT: Taxonomy, Standards, and Future Directions","Hazra, Adhikari",2021,https://doi.org/10.1145/3485130
